,city,lat,lng,country,population
0,Cairo,30.0444,31.2358,Egypt,20296000.0
1,Lagos,6.455,3.3841,Nigeria,16637000.0
2,Luanda,-8.8383,13.2344,Angola,9051000.0
3,Johannesburg,-26.2044,28.0456,South Africa,8000000.0
4,Dar es Salaam,-6.8161,39.2803,Tanzania,7962000.0
5,Khartoum,15.5006,32.56,Sudan,7869000.0
6,Douala,4.05,9.7,Cameroon,5768400.0
7,Giza,29.987,31.2118,Egypt,5598402.0
8,Nairobi,-1.2864,36.8172,Kenya,5545000.0
9,Alexandria,31.1975,29.8925,Egypt,4870000.0
10,Casablanca,33.5333,-7.5833,Morocco,4370000.0
11,Mogadishu,2.0392,45.3419,Somalia,4249083.0
12,Kano,12.0,8.5167,Nigeria,3848885.0
13,Abuja,9.0667,7.4833,Nigeria,3770000.0
14,Ibadan,7.3964,3.9167,Nigeria,3552000.0
15,Algiers,36.7539,3.0589,Algeria,3415811.0
16,Boankra,6.6944,-1.4028,Ghana,3348000.0
17,Addis Ababa,9.03,38.74,Ethiopia,3041002.0
18,Omdurman,15.65,32.4833,Sudan,2805396.0
19,Antananarivo,-18.9333,47.5167,Madagascar,2610000.0
20,Lusaka,-15.4167,28.2833,Zambia,2467563.0
21,Ouagadougou,12.3686,-1.5275,Burkina Faso,2453496.0
22,Yaoundé,3.8667,11.5167,Cameroon,2440462.0
23,Accra,5.55,-0.2,Ghana,2388000.0
24,Harare,-17.8292,31.0522,Zimbabwe,2150000.0
25,Kumasi,6.6667,-1.6167,Ghana,2069350.0
26,Bamako,12.6458,-7.9922,Mali,2009109.0
27,Bamenda,5.9614,10.1517,Cameroon,2000000.0
28,Boosaaso,11.2886,49.1819,Somalia,2000000.0
29,Blantyre,-15.7861,35.0058,Malawi,1895973.0
30,Port Harcourt,4.8242,7.0336,Nigeria,1865000.0
31,Meru,0.05,37.65,Kenya,1833000.0
32,Kampala,0.3136,32.5811,Uganda,1680600.0
33,Conakry,9.5092,-13.7122,Guinea,1667864.0
34,Balandougou,13.3558,-9.5517,Mali,1596882.0
35,Aba,5.1167,7.3667,Nigeria,1530000.0
36,Onitsha,6.1667,6.7833,Nigeria,1483000.0
37,El Kelaa des Srarhna,32.0481,-7.4083,Morocco,1450021.0
38,Dakar,14.6928,-17.4467,Senegal,1438725.0
39,Tripoli,32.8872,13.1914,Libya,1293016.0
40,Cacuaco,-8.8053,13.2444,Angola,1279488.0
41,Soweto,-26.2678,27.8585,South Africa,1271628.0
42,Mombasa,-4.05,39.6667,Kenya,1208333.0
