,city,lat,lng,country,population,cluster
0,Hoima,1.4319,31.3525,Uganda,122700.0,0
1,El Kelaa des Srarhna,32.0481,-7.4083,Morocco,1450021.0,1
2,Antsirabe,-19.8667,47.0333,Madagascar,257163.0,2
3,Lagos,6.455,3.3841,Nigeria,16637000.0,3
4,Tripoli,32.8872,13.1914,Libya,1293016.0,4
5,Polokwane,-23.9,29.45,South Africa,220045.0,5
6,Boké,10.94,-14.3,Guinea,116270.0,6
7,Djibouti,11.5883,43.145,Djibouti,603900.0,7
8,Cairo,30.0444,31.2358,Egypt,20296000.0,8
9,Benguela,-12.55,13.4167,Angola,561775.0,9
10,Mambéré,5.5,15.5,Central African Republic,233666.0,10
11,Algiers,36.7539,3.0589,Algeria,3415811.0,11
12,Welkom,-27.9831,26.7208,South Africa,431944.0,12
13,Kūstī,13.1667,32.6667,Sudan,345068.0,13
14,N’Djamena,12.11,15.05,Chad,1092066.0,14
15,Iringa,-7.77,35.69,Tanzania,151345.0,15
16,Sambava,-14.2667,50.1667,Madagascar,84039.0,16
17,Kisumu,-0.0833,34.7667,Kenya,409928.0,17
18,Néma,16.6167,-7.25,Mauritania,200000.0,18
19,Sfax,34.74,10.76,Tunisia,272801.0,19
20,Tangier,35.7767,-5.8039,Morocco,947952.0,20
21,Cape Town,-33.9253,18.4239,South Africa,433688.0,21
22,Port-Gentil,-0.7167,8.7833,Gabon,136462.0,22
23,Sal Rei,16.177,-22.918,Cabo Verde,6357.0,23
24,Blantyre,-15.7861,35.0058,Malawi,1895973.0,24
25,Kano,12.0,8.5167,Nigeria,3848885.0,25
26,Āwasa,7.05,38.4667,Ethiopia,300100.0,26
27,Onitsha,6.1667,6.7833,Nigeria,1483000.0,27
28,Tambacounda,13.7689,-13.6672,Senegal,78800.0,28
29,Rundu,-17.9167,19.7667,Namibia,63431.0,29
30,Baardheere,2.3333,42.2833,Somalia,755500.0,30
31,Ndola,-12.9667,28.6333,Zambia,528330.0,31
32,Androtsy,-24.1,46.3,Madagascar,809313.0,32
33,Betsiboka,-16.95,46.83,Madagascar,394561.0,33
34,Monrovia,6.3133,-10.8014,Liberia,1021762.0,34
35,Curepipe,-20.3188,57.5263,Mauritius,299975.0,35
36,Ad Dabbah,18.0502,30.9495,Sudan,52000.0,36
37,Wau,7.7,28.0,South Sudan,163442.0,37
38,Tamale,9.4075,-0.8533,Ghana,1095808.0,38
39,Djougou,9.7,1.6667,Benin,237040.0,39
40,Tobruk,32.0761,23.9614,Libya,135832.0,40
41,Tamanrasset,22.785,5.5228,Algeria,76000.0,41
42,Mekele,13.4969,39.4769,Ethiopia,323700.0,42
43,Boankra,6.6944,-1.4028,Ghana,3348000.0,43
44,Windhoek,-22.57,17.0836,Namibia,322500.0,44
45,Agadir,30.4333,-9.6,Morocco,421844.0,45
46,Aswān,24.0889,32.8997,Egypt,267913.0,46
47,Lira,2.2472,32.9,Uganda,135445.0,47
48,Luau,-10.7044,22.2283,Angola,90000.0,48
49,Mombasa,-4.05,39.6667,Kenya,1208333.0,49
50,Kasulu,-4.58,30.1,Tanzania,234452.0,50
51,Menongue,-14.6556,17.6842,Angola,320914.0,51
52,Maputo,-25.9667,32.5833,Mozambique,1191613.0,52
53,Mogadishu,2.0392,45.3419,Somalia,4249083.0,53
54,Nyala,12.05,24.8833,Sudan,492984.0,54
55,Cabinda,-5.56,12.19,Angola,739182.0,55
56,Libreville,0.3903,9.4542,Gabon,797003.0,56
